EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 19-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FG   : wind speed in 0.1 m/s
23-27 Q_FG : Quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, SOLTAU (STAID: 4652).
Blended and updated with sources: 128920 910235 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   FG, Q_FG
128920,19470721,-9999,    9
128920,19470722,-9999,    9
128920,19470723,-9999,    9
128920,19470724,-9999,    9
128920,19470725,-9999,    9
128920,19470726,-9999,    9
128920,19470727,-9999,    9
128920,19470728,-9999,    9
128920,19470729,-9999,    9
128920,19470730,-9999,    9
128920,19470731,-9999,    9
128920,19470801,-9999,    9
128920,19470802,-9999,    9
128920,19470803,-9999,    9
128920,19470804,-9999,    9
128920,19470805,-9999,    9
128920,19470806,-9999,    9
128920,19470807,-9999,    9
128920,19470808,-9999,    9
128920,19470809,-9999,    9
128920,19470810,-9999,    9
128920,19470811,-9999,    9
128920,19470812,-9999,    9
128920,19470813,-9999,    9
128920,19470814,-9999,    9
128920,19470815,-9999,    9
128920,19470816,-9999,    9
128920,19470817,-9999,    9
128920,19470818,-9999,    9
128920,19470819,-9999,    9
128920,19470820,-9999,    9
128920,19470821,-9999,    9
128920,19470822,-9999,    9
128920,19470823,-9999,    9
128920,19470824,-9999,    9
128920,19470825,-9999,    9
128920,19470826,-9999,    9
128920,19470827,-9999,    9
128920,19470828,-9999,    9
128920,19470829,-9999,    9
128920,19470830,-9999,    9
128920,19470831,-9999,    9
128920,19470901,-9999,    9
128920,19470902,-9999,    9
128920,19470903,-9999,    9
128920,19470904,-9999,    9
128920,19470905,-9999,    9
128920,19470906,-9999,    9
128920,19470907,-9999,    9
128920,19470908,-9999,    9
128920,19470909,-9999,    9
128920,19470910,-9999,    9
128920,19470911,-9999,    9
128920,19470912,-9999,    9
128920,19470913,-9999,    9
128920,19470914,-9999,    9
128920,19470915,-9999,    9
128920,19470916,-9999,    9
128920,19470917,-9999,    9
128920,19470918,-9999,    9
128920,19470919,-9999,    9
128920,19470920,-9999,    9
128920,19470921,-9999,    9
128920,19470922,-9999,    9
128920,19470923,-9999,    9
128920,19470924,-9999,    9
128920,19470925,-9999,    9
128920,19470926,-9999,    9
128920,19470927,-9999,    9
128920,19470928,-9999,    9
128920,19470929,-9999,    9
128920,19470930,-9999,    9
128920,19471001,-9999,    9
128920,19471002,-9999,    9
128920,19471003,-9999,    9
128920,19471004,-9999,    9
128920,19471005,-9999,    9
128920,19471006,-9999,    9
128920,19471007,-9999,    9
128920,19471008,-9999,    9
128920,19471009,-9999,    9
128920,19471010,-9999,    9
128920,19471011,-9999,    9
128920,19471012,-9999,    9
128920,19471013,-9999,    9
128920,19471014,-9999,    9
128920,19471015,-9999,    9
128920,19471016,-9999,    9
128920,19471017,-9999,    9
128920,19471018,-9999,    9
128920,19471019,-9999,    9
128920,19471020,-9999,    9
128920,19471021,-9999,    9
128920,19471022,-9999,    9
128920,19471023,-9999,    9
128920,19471024,-9999,    9
128920,19471025,-9999,    9
128920,19471026,-9999,    9
128920,19471027,-9999,    9
128920,19471028,-9999,    9
128920,19471029,-9999,    9
128920,19471030,-9999,    9
128920,19471031,-9999,    9
128920,19471101,-9999,    9
128920,19471102,-9999,    9
128920,19471103,-9999,    9
128920,19471104,-9999,    9
128920,19471105,-9999,    9
128920,19471106,-9999,    9
128920,19471107,-9999,    9
128920,19471108,-9999,    9
128920,19471109,-9999,    9
128920,19471110,-9999,    9
128920,19471111,-9999,    9
128920,19471112,-9999,    9
128920,19471113,-9999,    9
128920,19471114,-9999,    9
128920,19471115,-9999,    9
128920,19471116,-9999,    9
128920,19471117,-9999,    9
128920,19471118,-9999,    9
128920,19471119,-9999,    9
128920,19471120,-9999,    9
128920,19471121,-9999,    9
128920,19471122,-9999,    9
128920,19471123,-9999,    9
128920,19471124,-9999,    9
128920,19471125,-9999,    9
128920,19471126,-9999,    9
128920,19471127,-9999,    9
128920,19471128,-9999,    9
128920,19471129,-9999,    9
128920,19471130,-9999,    9
128920,19471201,-9999,    9
128920,19471202,-9999,    9
128920,19471203,-9999,    9
128920,19471204,-9999,    9
128920,19471205,-9999,    9
128920,19471206,-9999,    9
128920,19471207,-9999,    9
128920,19471208,-9999,    9
128920,19471209,-9999,    9
128920,19471210,-9999,    9
128920,19471211,-9999,    9
128920,19471212,-9999,    9
128920,19471213,-9999,    9
128920,19471214,-9999,    9
128920,19471215,-9999,    9
128920,19471216,-9999,    9
128920,19471217,-9999,    9
128920,19471218,-9999,    9
128920,19471219,-9999,    9
128920,19471220,-9999,    9
128920,19471221,-9999,    9
128920,19471222,-9999,    9
128920,19471223,-9999,    9
128920,19471224,-9999,    9
