EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 18-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, SOLTAU (STAID: 4652).
Blended and updated with sources: 128914 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
128914,18910501,-9999,    9
128914,18910502,-9999,    9
128914,18910503,-9999,    9
128914,18910504,-9999,    9
128914,18910505,-9999,    9
128914,18910506,-9999,    9
128914,18910507,-9999,    9
128914,18910508,-9999,    9
128914,18910509,-9999,    9
128914,18910510,-9999,    9
128914,18910511,-9999,    9
128914,18910512,-9999,    9
128914,18910513,-9999,    9
128914,18910514,-9999,    9
128914,18910515,-9999,    9
128914,18910516,-9999,    9
128914,18910517,-9999,    9
128914,18910518,-9999,    9
128914,18910519,-9999,    9
128914,18910520,-9999,    9
128914,18910521,-9999,    9
128914,18910522,-9999,    9
128914,18910523,-9999,    9
128914,18910524,-9999,    9
128914,18910525,-9999,    9
128914,18910526,-9999,    9
128914,18910527,-9999,    9
128914,18910528,-9999,    9
128914,18910529,-9999,    9
128914,18910530,-9999,    9
128914,18910531,    0,    0
128914,18910601,    0,    0
128914,18910602,    2,    0
128914,18910603,    0,    0
128914,18910604,    0,    0
128914,18910605,    0,    0
128914,18910606,    0,    0
128914,18910607,   15,    0
128914,18910608,    6,    0
128914,18910609,  118,    0
128914,18910610,   20,    0
128914,18910611,    4,    0
128914,18910612,    2,    0
128914,18910613,   16,    0
128914,18910614,   35,    0
128914,18910615,   21,    0
128914,18910616,   17,    0
128914,18910617,    6,    0
128914,18910618,   13,    0
128914,18910619,   96,    0
128914,18910620,    0,    0
128914,18910621,    0,    0
128914,18910622,   50,    0
128914,18910623,    0,    0
128914,18910624,    0,    0
128914,18910625,    0,    0
128914,18910626,   18,    0
128914,18910627,  160,    0
128914,18910628,    0,    0
128914,18910629,  104,    0
128914,18910630,    2,    0
128914,18910701,  118,    0
128914,18910702,    0,    0
128914,18910703,    5,    0
128914,18910704,   21,    0
128914,18910705,    1,    0
128914,18910706,  144,    0
128914,18910707,   31,    0
128914,18910708,   17,    0
128914,18910709,  134,    0
128914,18910710,   17,    0
128914,18910711,   18,    0
128914,18910712,    0,    0
128914,18910713,    0,    0
128914,18910714,  150,    0
128914,18910715,  464,    0
128914,18910716,   22,    0
128914,18910717,    0,    0
128914,18910718,    0,    0
128914,18910719,  235,    0
128914,18910720,   23,    0
128914,18910721,    1,    0
128914,18910722,   30,    0
128914,18910723,   72,    0
128914,18910724,   17,    0
128914,18910725,    0,    0
128914,18910726,    0,    0
128914,18910727,  119,    0
128914,18910728,    0,    0
128914,18910729,    0,    0
128914,18910730,   29,    0
128914,18910731,    0,    0
128914,18910801,    0,    0
128914,18910802,    6,    0
128914,18910803,   96,    0
128914,18910804,   13,    0
128914,18910805,   66,    0
128914,18910806,    0,    0
128914,18910807,   67,    0
128914,18910808,   35,    0
128914,18910809,   37,    0
128914,18910810,   40,    0
128914,18910811,    0,    0
128914,18910812,   96,    0
128914,18910813,   45,    0
128914,18910814,   53,    0
128914,18910815,  162,    0
128914,18910816,   40,    0
128914,18910817,   36,    0
128914,18910818,    0,    0
128914,18910819,  121,    0
128914,18910820,    0,    0
128914,18910821,   63,    0
128914,18910822,   23,    0
128914,18910823,   58,    0
128914,18910824,   42,    0
128914,18910825,    0,    0
128914,18910826,    0,    0
128914,18910827,    0,    0
128914,18910828,    0,    0
128914,18910829,    0,    0
128914,18910830,    5,    0
128914,18910831,   33,    0
128914,18910901,   29,    0
128914,18910902,    0,    0
128914,18910903,    0,    0
128914,18910904,    0,    0
128914,18910905,    0,    0
128914,18910906,    0,    0
128914,18910907,    2,    0
128914,18910908,    0,    0
128914,18910909,    0,    0
128914,18910910,    0,    0
128914,18910911,    0,    0
128914,18910912,    0,    0
128914,18910913,    0,    0
128914,18910914,    0,    0
128914,18910915,    1,    0
128914,18910916,    1,    0
128914,18910917,    9,    0
128914,18910918,   49,    0
128914,18910919,   17,    0
128914,18910920,    0,    0
128914,18910921,   30,    0
128914,18910922,   57,    0
128914,18910923,    0,    0
128914,18910924,    0,    0
128914,18910925,    0,    0
128914,18910926,    0,    0
128914,18910927,   10,    0
128914,18910928,    0,    0
128914,18910929,    0,    0
128914,18910930,    0,    0
128914,18911001,    0,    0
128914,18911002,   25,    0
128914,18911003,    0,    0
128914,18911004,    0,    0
128914,18911005,    0,    0
128914,18911006,    0,    0
128914,18911007,   17,    0
128914,18911008,   33,    0
128914,18911009,    0,    0
128914,18911010,    0,    0
128914,18911011,    0,    0
128914,18911012,   21,    0
128914,18911013,   10,    0
128914,18911014,    0,    0
128914,18911015,    9,    0
128914,18911016,   15,    0
128914,18911017,    0,    0
128914,18911018,    5,    0
128914,18911019,   18,    0
128914,18911020,   20,    0
128914,18911021,   17,    0
128914,18911022,    0,    0
128914,18911023,    0,    0
128914,18911024,   23,    0
128914,18911025,    0,    0
128914,18911026,    0,    0
128914,18911027,    0,    0
128914,18911028,    0,    0
128914,18911029,    0,    0
128914,18911030,    0,    0
128914,18911031,    7,    0
128914,18911101,    1,    0
128914,18911102,    0,    0
128914,18911103,    0,    0
128914,18911104,   14,    0
128914,18911105,    0,    0
128914,18911106,    4,    0
128914,18911107,    0,    0
128914,18911108,    0,    0
128914,18911109,    2,    0
128914,18911110,    0,    0
128914,18911111,   46,    0
128914,18911112,    0,    0
128914,18911113,   35,    0
